id,exam_year,data_prova,exam_type,source_file,question_number,gabarito,descritores,subject
2017-INT-01,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,1,C,D3,Portugues
2017-INT-07,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,7,B,D1;D527;D7,Portugues
2017-INT-08,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,8,D,D22;D23,Portugues
2017-INT-11,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,11,E,D433;D161;D19;D34,Matematica
2017-INT-13,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,13,C,D34;D58,Matematica
2017-INT-15,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,15,B,D54;D55,Matematica
2017-INT-16,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,16,B,D35;D41;D50,Matematica
2017-INT-17,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,17,D,D3;D22;D30,Matematica
2017-INT-18,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,18,C,D7;D22;D30;D44,Matematica
2017-INT-20,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,20,D,D7;D22;D27;D30;D40;D51,Matematica
2017-INT-21,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,21,D,D552;D5,Ciencias Naturais
2017-INT-22,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,22,E,D603;D232;D4,Ciencias Naturais
2017-INT-24,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,24,C,D47;D13,Ciencias Naturais
2017-INT-25,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,25,C,D4;D25;D28,Ciencias Naturais
2017-INT-26,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,26,E,D8,Ciencias Naturais
2017-INT-28,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,28,D,D13;D149;D18,Ciencias Naturais
2017-INT-29,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,29,D,D19;D7;D26;D413;D38,Ciencias Naturais
2017-INT-32,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,32,B,D23,Historia
2017-INT-33,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,33,D,D1;D2;D19;D20;D24;D29;D32;D35,Historia
2017-INT-34,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,34,,D37,Historia
2017-INT-35,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,35,C,D21;D23,Historia
2017-INT-36,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,36,E,D12;D14,Geografia
2017-INT-37,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,37,B,D7;D9;D11,Geografia
2017-INT-38,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,38,D,D4;D34;D35;D27;D28,Geografia
2017-INT-40,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,40,D,D7;D13;D19,Geografia
2017-INT-44,2017,2016-12-08,Integrado/Concomitante,gabarito2017.pdf,44,E,D7;D8,Outro
2018-INT-01,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,1,B,D3,Portugues
2018-INT-02,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,2,D,D7,Portugues
2018-INT-03,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,3,B,D37,Portugues
2018-INT-04,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,4,C,D6,Portugues
2018-INT-05,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,5,D,D25,Portugues
2018-INT-06,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,6,A,D33,Portugues
2018-INT-07,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,7,A,D4,Portugues
2018-INT-08,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,8,D,D32,Portugues
2018-INT-09,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,9,D,D17,Portugues
2018-INT-10,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,10,E,D38,Portugues
2018-INT-11,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,11,D,D11;D20;D44;D51,Matematica
2018-INT-12,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,12,B,D3,Matematica
2018-INT-13,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,13,C,D7;D9;D24,Matematica
2018-INT-14,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,14,B,D18;D19;D43,Matematica
2018-INT-15,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,15,E,D17;D27;D30;D49,Matematica
2018-INT-16,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,16,A,D34;D35;D41;D44,Matematica
2018-INT-17,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,17,D,D17;D18,Matematica
2018-INT-18,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,18,A,D54,Matematica
2018-INT-19,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,19,C,D5;D7;D9;D11;D14;D17;D28;D30,Matematica
2018-INT-20,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,20,E,D49;D51,Matematica
2018-INT-21,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,21,B,D54,Ciencias Naturais
2018-INT-22,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,22,D,D61,Ciencias Naturais
2018-INT-23,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,23,A,D44;D45,Ciencias Naturais
2018-INT-24,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,24,D,D47,Ciencias Naturais
2018-INT-25,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,25,B,D45,Ciencias Naturais
2018-INT-26,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,26,D,D10,Ciencias Naturais
2018-INT-27,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,27,B,D5;D17;D18,Ciencias Naturais
2018-INT-28,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,28,A,D27;D28;D32,Ciencias Naturais
2018-INT-29,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,29,C,D20;D23,Ciencias Naturais
2018-INT-30,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,30,C,D14;D15;D35,Ciencias Naturais
2018-INT-31,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,31,A,D17,Historia
2018-INT-32,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,32,B,D18,Historia
2018-INT-33,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,33,A,D31,Historia
2018-INT-34,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,34,C,D24,Historia
2018-INT-35,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,35,ANULADA,D22,Historia
2018-INT-36,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,36,ANULADA,D12;D13;D14,Geografia
2018-INT-37,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,37,E,D24,Geografia
2018-INT-38,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,38,C,D31,Geografia
2018-INT-39,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,39,B,D10;D29,Geografia
2018-INT-40,2018,2017-12-14,Integrado/Concomitante,gabarito2018.pdf,40,ANULADA,D16;D17,Geografia
2022-INT-01,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,1,C,D22,Portugues
2022-INT-02,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,2,E,D1,Portugues
2022-INT-03,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,3,C,D21,Portugues
2022-INT-04,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,4,E,D21,Portugues
2022-INT-05,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,5,C,D26,Portugues
2022-INT-06,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,6,B,D16,Portugues
2022-INT-07,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,7,A,D10,Portugues
2022-INT-08,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,8,A,D28,Portugues
2022-INT-09,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,9,B,D25,Portugues
2022-INT-10,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,10,E,D32,Portugues
2022-INT-11,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,11,A,D35,Matematica
2022-INT-12,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,12,D,D34;D44;D47,Matematica
2022-INT-13,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,13,B,D45,Matematica
2022-INT-14,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,14,C,D19;D33;D43;D49,Matematica
2022-INT-15,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,15,D,D34;D44,Matematica
2022-INT-16,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,16,E,D2;D49,Matematica
2022-INT-18,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,18,D,D5;D11;D14;D16,Matematica
2022-INT-19,2022,2022-06-28,Integrado/Concomitante,gabarito2022.pdf,19,C,D13;D17;D18;D27;D32;D45,Matematica
